MSN,YYYYMM,Value,Column_Order,Description,Unit
CLNIBUS,199708,-0.208961,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199709,-0.163158,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199710,-0.181353,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199711,-0.15831,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199712,-0.144838,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199713,-2.005966,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199801,-0.169544,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199802,-0.130856,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199803,-0.152656,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199804,-0.155674,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199805,-0.186876,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199806,-0.158707,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199807,-0.153124,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199808,-0.15947,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199809,-0.167049,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199810,-0.160503,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199811,-0.135126,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199812,-0.144,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199813,-1.873585,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199901,-0.098664,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199902,-0.084128,1,Coal Net Imports,Quadrillion Btu
